id,descripcion,M,videoURL
1,SALUDO,B,./data/videos/Saludo.mp4
2,HOLA,B,./data/videos/Hola.mp4
3,COMO ESTAS,B,./data/videos/ComoEstas.mp4
4,BIEN,B,./data/videos/Bien.mp4
